JOB Role,Company,Salary,Location
Associate Telecaller,HireWala,"₹ 3,00,000 - 5,00,000",Mumbai
Business Development Executive,METGUARD,"₹ 3,02,000 - 4,25,000",Kolkata
Graphic Designer,Stag International,"₹ 4,20,000 - 4,80,000",Meerut
Electrical Engineer,Varistor Solar,"₹ 3,80,000 - 4,40,000",Rajasthan
Ecommerce Executive,Stag International,"₹ 3,00,000 - 3,60,000",Meerut
Apparel Designer,Stag International,"₹ 2,60,000 - 2,80,000",Meerut
Video & Animation Creator,Startupcfos,"₹ 2,00,000 - 3,00,000",Mumbai
Creative Designer,GetREAL,"₹ 3,00,000",Bangalore                                                        (Hybrid)
Video Editor,Dreamfoot,"₹ 2,00,000 - 3,00,000",Vadodara
Psychologist,Kapable.club,"₹ 4,00,000 - 6,00,000",Delhi
Event Manager,Nexus Jobs,Competitive salary,Jaipur
Admission Counselor,Nexus Jobs,Competitive salary,Jaipur
Human Resources Executive,Nexus Jobs,"₹ 3,00,000 - 3,60,000",Jaipur
Human Resources,Nexus Jobs,Competitive salary,Jaipur
Child Psychologist,Andd Jobs,Competitive salary,"Bharatpur, Madhubani, Patna, Sambalpur, Bagalkot, Mathura"
Front Desk Executive,Andd Jobs,Competitive salary,"Faridabad, Delhi, Ghaziabad, Gurgaon, Bangalore"
Flutter Developer,Andd Jobs,Competitive salary,"Aligarh, Ghaziabad, Meerut, Greater Noida, Dadri, Bulandshahr, Noida"
Hardware & Networking Engineer,Andd Jobs,Competitive salary,"Aligarh, Ghaziabad, Meerut, Hapur, Dadri, Bulandshahr, Pilkhuwa"
IT Hardware Support Executive,Andd Jobs,Competitive salary,"Aligarh, Ghaziabad, Meerut, Hapur, Dadri, Bulandshahr, Pilkhuwa"
Assistant Sales Manager,Andd Jobs,Competitive salary,"Bareilly, Delhi, Ghaziabad, Gurgaon"
Executive Assistant,Andd Jobs,Competitive salary,"Delhi, Ghaziabad, Meerut"
Software Development,Nexus Jobs,Competitive salary,Jaipur
Front Desk Officer,Nexus Jobs,Competitive salary,Jaipur
Telesales Executive,Andd Jobs,Competitive salary,"Delhi, Noida"
Occupational Therapist,Andd Jobs,Competitive salary,"Pune, Siliguri, Bangalore, Pune Division"
Receptionist,Nexus Jobs,Competitive salary,Jaipur
MIS Executive,Andd Jobs,"₹ 2,40,000 - 3,60,000",Delhi
EA To Director,Andd Jobs,Competitive salary,"Delhi, Pitampura"
Physiotherapist,Andd Jobs,Competitive salary,"Dehradun, Mysuru, Pune, Raigarh, Ranchi, Siliguri, Mumbai"
Lead Full Stack Developer,Andd Jobs,Competitive salary,"Delhi, Ghaziabad, Meerut, Greater Noida, Noida"
Marketing Cum Sales Executive,Andd Jobs,Competitive salary,"Delhi, Ghaziabad, Noida"
Pharmacist,Andd Jobs,Competitive salary,Bangalore
Receptionist,Andd Jobs,Competitive salary,"Faridabad, Delhi, Ghaziabad, Gurgaon, Mukerian, Bangalore"
Commi II Chef,Nexus Jobs,Competitive salary,Jaipur
Speech Therapist,Andd Jobs,Competitive salary,"Amritsar, Delhi, Jalandhar, Pune, Mukerian, Hoshiarpur, Bangalore"
Audiologists And Speech-Language Pathologists,Andd Jobs,Competitive salary,"Chandigarh, Chennai, Delhi, Gurgaon, Jalandhar, Faridkot, Hoshiarpur"
Ophthalmologist,Andd Jobs,Competitive salary,"Akbarpur, Basti, Gorakhpur, Kanpur, Lucknow, Ayodhya, Gonda"
Mechanical Site Engineer,Andd Jobs,Competitive salary,"Bahadurgarh, Kurukshetra, Rohtak, Sonipat, Panipat, Gohana, Kharkhauda"
Ophthalmic Surgeons,Andd Jobs,Competitive salary,"Akbarpur, Basti, Deoria, Gorakhpur, Azamgarh, Ayodhya, Gonda"
STEM And Robotics Trainer,Andd Jobs,Competitive salary,"Delhi, Ghaziabad, Meerut, Greater Noida, Bulandshahr, Noida"
Robotics Trainer,Andd Jobs,Competitive salary,"Delhi, Ghaziabad, Meerut, Greater Noida, Dadri, Bulandshahr, Noida"
Site Engineer (Mechanical),Andd Jobs,Competitive salary,"Bahadurgarh, Kurukshetra, Rohtak, Sonipat, Panipat, Gohana, Kharkhauda"
Senior Audiologist,Andd Jobs,Competitive salary,"Delhi, Ghaziabad, Gurgaon"
Area Sales Manager (Medical),Andd Jobs,Competitive salary,"Chennai, Delhi, Kolkata, Hyderabad, Bangalore"
Maintenance Electrician,Lakhmi Chand Tejoo Mal,"₹ 2,64,000 - 2,76,000",Delhi
Medical Sales Manager,Andd Jobs,Competitive salary,"Chennai, Delhi, Kolkata, Hyderabad, Bangalore"
Commi-ii Chef,Nexus Jobs,Competitive salary,Jaipur
Nurse,Andd Jobs,Competitive salary,Bangalore
Admin Executive,Andd Jobs,Competitive salary,"Bahadurgarh, Rohtak, Sonipat, Samalkha, Panipat, Gohana, Kharkhauda"
Laravel Developer,Nexus Jobs,Competitive salary,Jaipur
System Administrator - Presidency Group - Richmond Road Office,Presidency Group Of Institutions,"₹ 3,20,000 - 4,00,000",Bangalore
Facility Manager At Presidency PU College Kogilu,Presidency College,Competitive salary,Bangalore
Primary Science Teacher For Motihari Campus,Seth MR Jaipuria Schoool,"₹ 2,80,000 - 3,50,000",Motihari
TGT Hindi Teacher For Motihari Campus,Seth MR Jaipuria Schoool,"₹ 2,88,000 - 3,60,000",Motihari
TGT Computer Teacher For Motihari School,Seth MR Jaipuria Schoool,"₹ 2,88,000 - 3,60,000",Motihari
Zonal Head For School,Narayana Schools,"₹ 4,85,600 - 6,07,000",Hyderabad
Content Designer For School,Narayana Schools,"₹ 4,04,800 - 5,06,000",Hyderabad
Academic Coordinator (Pre-Primary Level) For School,Narayana Schools,"₹ 4,04,800 - 5,06,000",Hyderabad
Principal For School,Narayana Schools,"₹ 6,47,200 - 8,09,000",Nizamabad
Branch Curriculum Coordinator For School,Narayana Schools,"₹ 4,04,800 - 5,06,000",Hyderabad
Primary General Teacher For CBSE School,Presidency Group Of Schools,"₹ 3,20,000 - 4,00,000",Bangalore
Academic Director For School,Narayana Schools,"₹ 7,28,000 - 9,10,000",Hyderabad
Technical Writer,TeachEdison,Competitive salary,Coimbatore
Freeze Dried Fruits Consultants($100-$999),16Consultancy,Competitive salary,Work from home
Lead  Manufacturing Applications,Reliance New Energy,Competitive salary,Navi Mumbai
Manager Infra (Compute & Storage),Reliance New Energy,Competitive salary,Navi Mumbai
Lead  Digital Infrastructure,Reliance New Energy,Competitive salary,Navi Mumbai
Lead  Data Ops,Reliance New Energy,Competitive salary,Navi Mumbai
Lead  Advanced Analytics (Intelligence Services),Reliance New Energy,Competitive salary,Navi Mumbai
Digital Lead - Site Operations,Reliance New Energy,Competitive salary,Navi Mumbai
Manager Infra (Production Floor Network),Reliance New Energy,Competitive salary,Navi Mumbai
Client Engagement Manager,Intertec Softwares Pvt Ltd,Competitive salary,Mumbai
Oracle OTM Specialist,Agodly Infotech LLP,"₹ 28,00,000 - 30,00,000","Chennai, Gurgaon, Pune, Hyderabad, Bangalore"
MLOps Engineer Remote,Agodly Infotech LLP,Competitive salary,Work from home
Department Manager,Reliance Retail,"₹ 3,00,000 - 4,00,000","Thiruvananthapuram, Muvattupuzha"
L3- Network & Security O&M,Jio,Competitive salary,Hyderabad
Account Executive,One Plus Staffing Solution,Competitive salary,"Ahmedabad, Sanand"
React Native Developer,Colan Infotech Private Limited,Competitive salary,Chennai
Key Account Manager - Genset Industry,Goel Power Engineers,Competitive salary,"Navi Mumbai, Mumbai"
